transaction_id,customer_id,customer_name,amount,currency,payment_method,transaction_date,payment_status,failure_reason,customer_history,retry_count,customer_segment,recovered_after_retry
TXN00534,CUST0043,Shreya Pillai,1026.53,INR,UPI,2026-06-07 14:18:53,Success,,Regular Customer,0,Regular,
TXN00228,CUST0012,Shreya Kulkarni,3168.86,INR,Credit Card,2026-06-07 14:30:04,Success,,Loyal Customer,0,Premium,
TXN00451,CUST0145,Manish Patel,1930.48,INR,UPI,2026-06-07 15:42:02,Failed,Card Declined,Loyal Customer,1,Regular,0.0
TXN00191,CUST0063,Sneha Kulkarni,686.83,INR,UPI,2026-06-07 16:10:51,Failed,Expired Card,New Customer,1,New,0.0
TXN00520,CUST0070,Manish Iyer,3020.76,INR,Debit Card,2026-06-07 17:10:25,Success,,Occasional Buyer,0,Regular,
TXN00272,CUST0118,Vikram Pillai,379.36,INR,Credit Card,2026-06-07 20:24:10,Failed,Authentication Failure,New Customer,0,New,0.0
TXN00038,CUST0163,Ananya Menon,2038.9,INR,Netbanking,2026-06-07 23:10:55,Success,,Loyal Customer,0,Premium,
TXN00419,CUST0152,Priya Rao,9795.21,INR,UPI,2026-06-08 00:59:02,Success,,Occasional Buyer,0,Premium,
TXN00108,CUST0080,Kiran Nair,997.0,INR,Wallet,2026-06-08 02:27:01,Failed,Authentication Failure,Regular Customer,0,New,0.0
TXN00269,CUST0005,Kunal Singh,1568.66,INR,Credit Card,2026-06-08 03:51:23,Success,,Regular Customer,0,Regular,
TXN00041,CUST0095,Rohan Chowdhury,1398.39,INR,Debit Card,2026-06-08 07:50:51,Success,,Occasional Buyer,0,New,
TXN00647,CUST0190,Radhika Reddy,178.02,INR,Netbanking,2026-06-08 09:09:20,Failed,Insufficient Funds,Occasional Buyer,1,New,1.0
TXN00155,CUST0218,Aditya Reddy,1070.46,INR,UPI,2026-06-08 11:23:51,Failed,Card Declined,New Customer,0,New,0.0
TXN00362,CUST0156,Amit Joshi,4642.49,INR,UPI,2026-06-08 13:09:22,Success,,Regular Customer,0,Regular,
TXN00350,CUST0110,Rajesh Gupta,1776.86,INR,UPI,2026-06-08 16:58:57,Success,,Occasional Buyer,0,Regular,
TXN00071,CUST0156,Amit Joshi,2437.6,INR,Wallet,2026-06-08 21:55:01,Failed,Card Declined,Regular Customer,2,Regular,0.0
TXN00143,CUST0184,Vikram Chowdhury,2431.49,INR,Credit Card,2026-06-09 04:20:30,Success,,Regular Customer,0,Premium,
TXN00277,CUST0059,Anjali Verma,2229.39,INR,UPI,2026-06-09 08:48:56,Success,,Occasional Buyer,0,Regular,
TXN00470,CUST0126,Harsh Pillai,1455.78,INR,Netbanking,2026-06-09 15:45:20,Success,,Occasional Buyer,0,Regular,
TXN00056,CUST0217,Meera Desai,3334.92,INR,UPI,2026-06-09 16:06:37,Success,,Regular Customer,0,Regular,
TXN00537,CUST0092,Ishita Gupta,1244.85,INR,Credit Card,2026-06-09 16:56:12,Success,,Loyal Customer,0,Regular,
TXN00619,CUST0207,Ananya Agarwal,2603.35,INR,Wallet,2026-06-09 18:13:04,Success,,Loyal Customer,0,Regular,
TXN00278,CUST0012,Shreya Kulkarni,4023.44,INR,Wallet,2026-06-09 22:23:16,Success,,Loyal Customer,0,Premium,
TXN00401,CUST0024,Lakshmi Chowdhury,344.93,INR,UPI,2026-06-09 23:15:21,Success,,Occasional Buyer,0,New,
TXN00153,CUST0114,Karthik Patel,1374.69,INR,Wallet,2026-06-09 23:48:56,Success,,Regular Customer,0,Regular,
TXN00261,CUST0141,Abhishek Sharma,514.83,INR,Debit Card,2026-06-10 00:28:12,Failed,Authentication Failure,New Customer,3,New,0.0
TXN00638,CUST0131,Pooja Patel,2080.42,INR,UPI,2026-06-10 00:39:21,Success,,Occasional Buyer,0,Regular,
TXN00501,CUST0050,Kunal Iyer,3325.57,INR,Credit Card,2026-06-10 02:04:33,Success,,Regular Customer,0,Regular,
TXN00453,CUST0108,Meera Bose,496.99,INR,Wallet,2026-06-10 05:28:03,Success,,Occasional Buyer,0,New,
TXN00372,CUST0196,Siddharth Malhotra,2627.79,INR,Netbanking,2026-06-10 11:35:46,Failed,Network Failure,Regular Customer,2,Regular,0.0
TXN00339,CUST0220,Riya Malhotra,6677.28,INR,Credit Card,2026-06-10 15:38:48,Failed,Authentication Failure,Regular Customer,1,Premium,1.0
TXN00146,CUST0104,Rajesh Kulkarni,3071.75,INR,UPI,2026-06-10 18:00:16,Success,,Regular Customer,0,Regular,
TXN00321,CUST0118,Vikram Pillai,951.65,INR,Credit Card,2026-06-10 23:00:33,Success,,New Customer,0,New,
TXN00226,CUST0015,Shreya Gupta,1725.67,INR,Credit Card,2026-06-10 23:23:59,Success,,Occasional Buyer,0,New,
TXN00147,CUST0037,Meera Singh,2926.39,INR,Netbanking,2026-06-11 04:07:59,Failed,Insufficient Funds,Loyal Customer,2,Premium,1.0
TXN00301,CUST0204,Riya Kulkarni,3588.55,INR,Debit Card,2026-06-11 06:21:31,Failed,Card Declined,Loyal Customer,0,Premium,1.0
TXN00556,CUST0012,Shreya Kulkarni,4420.74,INR,Wallet,2026-06-11 09:37:03,Failed,Bank Server Issue,Loyal Customer,1,Premium,1.0
TXN00078,CUST0029,Rahul Reddy,750.39,INR,UPI,2026-06-11 09:46:30,Success,,Occasional Buyer,0,New,
TXN00644,CUST0001,Riya Singh,874.17,INR,Netbanking,2026-06-11 11:49:03,Success,,New Customer,0,Regular,
TXN00264,CUST0020,Anjali Menon,3254.54,INR,Wallet,2026-06-11 13:56:45,Success,,Loyal Customer,0,Premium,
TXN00567,CUST0150,Manish Joshi,1960.47,INR,Credit Card,2026-06-12 03:22:46,Success,,Regular Customer,0,Premium,
TXN00065,CUST0032,Manish Bose,8153.99,INR,UPI,2026-06-12 03:34:42,Success,,Loyal Customer,0,Premium,
TXN00266,CUST0016,Riya Patel,1005.98,INR,Credit Card,2026-06-12 10:37:35,Success,,Occasional Buyer,0,Regular,
TXN00433,CUST0023,Kiran Desai,763.84,INR,Netbanking,2026-06-12 11:26:55,Success,,New Customer,0,New,
TXN00352,CUST0065,Preeti Gupta,2175.93,INR,UPI,2026-06-12 11:48:21,Failed,Card Declined,New Customer,0,New,0.0
TXN00374,CUST0156,Amit Joshi,3386.66,INR,UPI,2026-06-12 12:08:19,Success,,Regular Customer,0,Regular,
TXN00051,CUST0205,Harsh Bose,1090.56,INR,UPI,2026-06-12 13:07:06,Failed,Card Declined,Occasional Buyer,2,New,0.0
TXN00028,CUST0159,Tanvi Nair,1124.87,INR,UPI,2026-06-12 17:09:34,Success,,Loyal Customer,0,New,
TXN00107,CUST0086,Swati Desai,5638.66,INR,UPI,2026-06-12 17:19:44,Success,,Regular Customer,0,Regular,
TXN00025,CUST0180,Sneha Desai,647.66,INR,UPI,2026-06-13 02:35:26,Failed,Network Failure,New Customer,2,New,0.0
TXN00005,CUST0215,Suresh Pillai,780.17,INR,Credit Card,2026-06-13 06:00:25,Success,,New Customer,0,New,
TXN00055,CUST0158,Kunal Agarwal,3522.94,INR,UPI,2026-06-13 07:09:54,Failed,Network Failure,New Customer,0,Regular,0.0
TXN00106,CUST0099,Riya Joshi,1144.17,INR,UPI,2026-06-13 10:07:24,Success,,New Customer,0,New,
TXN00541,CUST0064,Varun Verma,3164.12,INR,Credit Card,2026-06-13 11:31:57,Failed,Authentication Failure,New Customer,1,Regular,0.0
TXN00584,CUST0211,Anjali Bose,3506.65,INR,Debit Card,2026-06-13 12:30:00,Failed,Card Declined,New Customer,0,New,0.0
TXN00517,CUST0013,Aditya Rao,1212.63,INR,Debit Card,2026-06-13 12:53:54,Failed,Insufficient Funds,New Customer,1,New,1.0
TXN00009,CUST0099,Riya Joshi,677.44,INR,Wallet,2026-06-13 17:43:03,Success,,New Customer,0,New,
TXN00565,CUST0034,Siddharth Nair,9903.14,INR,Wallet,2026-06-13 18:39:13,Success,,Regular Customer,0,Premium,
TXN00650,CUST0134,Abhishek Chowdhury,7693.29,INR,UPI,2026-06-13 19:39:31,Success,,New Customer,0,Premium,
TXN00166,CUST0198,Karthik Rao,6676.78,INR,Credit Card,2026-06-13 19:51:18,Success,,Occasional Buyer,0,Premium,
TXN00489,CUST0067,Ishita Chowdhury,5053.96,INR,Debit Card,2026-06-13 23:03:30,Failed,Expired Card,Regular Customer,0,Regular,1.0
TXN00139,CUST0200,Anjali Menon,1462.8,INR,UPI,2026-06-14 00:15:53,Failed,Authentication Failure,Occasional Buyer,1,New,1.0
TXN00256,CUST0098,Anjali Kapoor,671.46,INR,Credit Card,2026-06-14 01:15:35,Failed,Card Declined,Occasional Buyer,3,New,0.0
TXN00626,CUST0146,Sneha Joshi,1508.44,INR,UPI,2026-06-14 01:57:40,Success,,Regular Customer,0,Regular,
TXN00549,CUST0131,Pooja Patel,2450.7,INR,Credit Card,2026-06-14 04:47:23,Success,,Occasional Buyer,0,Regular,
TXN00177,CUST0153,Rajesh Chowdhury,2012.54,INR,Netbanking,2026-06-14 05:18:47,Success,,Loyal Customer,0,Regular,
TXN00060,CUST0030,Riya Kapoor,3417.11,INR,Netbanking,2026-06-14 08:15:11,Success,,Regular Customer,0,Regular,
TXN00592,CUST0190,Radhika Reddy,674.12,INR,Debit Card,2026-06-14 14:48:19,Success,,Occasional Buyer,0,New,
TXN00357,CUST0193,Deepak Mehta,887.93,INR,Netbanking,2026-06-14 17:22:51,Failed,Network Failure,New Customer,1,New,1.0
TXN00480,CUST0055,Vikram Pillai,1757.67,INR,Netbanking,2026-06-14 20:22:32,Success,,New Customer,0,New,
TXN00484,CUST0079,Rohan Nair,2234.8,INR,Debit Card,2026-06-14 22:12:21,Success,,Regular Customer,0,Regular,
TXN00601,CUST0037,Meera Singh,7930.68,INR,UPI,2026-06-15 01:45:53,Success,,Loyal Customer,0,Premium,
TXN00209,CUST0073,Rahul Pillai,7027.06,INR,Credit Card,2026-06-15 07:57:38,Success,,Loyal Customer,0,Premium,
TXN00596,CUST0031,Tanvi Sharma,661.16,INR,Credit Card,2026-06-15 10:41:35,Failed,Authentication Failure,New Customer,0,New,0.0
TXN00306,CUST0157,Vikram Bose,2131.39,INR,UPI,2026-06-15 11:43:36,Success,,Regular Customer,0,Regular,
TXN00274,CUST0142,Tanvi Gupta,903.38,INR,Credit Card,2026-06-15 12:31:25,Success,,New Customer,0,New,
TXN00073,CUST0018,Kiran Singh,1959.21,INR,UPI,2026-06-15 13:17:45,Failed,Expired Card,Occasional Buyer,1,Regular,0.0
TXN00305,CUST0208,Rohan Gupta,886.66,INR,Credit Card,2026-06-15 15:16:25,Failed,Card Declined,New Customer,2,New,1.0
TXN00021,CUST0037,Meera Singh,11303.01,INR,UPI,2026-06-15 21:25:36,Success,,Loyal Customer,0,Premium,
TXN00319,CUST0126,Harsh Pillai,2388.19,INR,Credit Card,2026-06-15 23:35:25,Success,,Occasional Buyer,0,Regular,
TXN00488,CUST0087,Divya Desai,469.22,INR,Wallet,2026-06-16 00:01:03,Success,,New Customer,0,New,
TXN00324,CUST0109,Anjali Rao,3150.87,INR,UPI,2026-06-16 07:44:42,Success,,New Customer,0,New,
TXN00365,CUST0029,Rahul Reddy,1358.43,INR,UPI,2026-06-16 09:48:14,Failed,Bank Server Issue,Occasional Buyer,0,New,1.0
TXN00046,CUST0170,Simran Pillai,1344.91,INR,UPI,2026-06-16 09:55:16,Success,,Regular Customer,0,Regular,
TXN00575,CUST0114,Karthik Patel,3153.2,INR,Netbanking,2026-06-16 11:45:33,Success,,Regular Customer,0,Regular,
